,Agricultural and Natural Lands,Arterials & Suburban Corridors,Developing Communities,Established Communities,Rural & Small Town Main Street,Rural Residential,Small-Town Established Communities,Urban core,REGION,year
transit_emp,568.4641723632812,39845.4765625,1217.4124755859375,15045.701171875,3391.644287109375,259.1847839355469,1908.5224609375,143356.1875,16391.052734375,2020
bike_emp,1264.3919677734375,27343.72265625,4298.99169921875,15527.5380859375,3182.125,1349.378173828125,2561.212158203125,103501.0859375,15455.314453125,2020
walk_emp,142.21168518066406,4828.07373046875,417.6824035644531,2480.248779296875,1278.0107421875,161.3370361328125,855.4429931640625,33516.59765625,2902.095703125,2020
drive_emp,46375.37890625,214495.609375,105986.203125,171678.875,60186.49609375,67682.8828125,60995.98828125,320090.0,159471.015625,2020
transit_nonwork,0.6639533042907715,37.9007453918457,1.4565449953079224,18.32143211364746,10.391051292419434,0.9046550393104553,5.916782855987549,103.39583587646484,17.302223205566406,2020
bike_nonwork,4.806217670440674,86.5008316040039,13.427251815795898,56.99021530151367,20.649389266967773,6.313418388366699,16.366064071655273,205.90576171875,51.40116882324219,2020
walk_nonwork,0.841134250164032,21.550601959228516,2.138984203338623,13.464069366455078,9.433951377868652,1.391189455986023,6.278806686401367,60.13149642944336,12.242219924926758,2020
transit_edu,0.6198164820671082,27.234529495239258,1.1853677034378052,13.933601379394531,4.97922945022583,0.6978872418403625,3.7434394359588623,61.087162017822266,12.684937477111816,2020
bike_edu,1.269551396369934,19.210939407348633,3.549163579940796,13.771411895751953,4.5049662590026855,1.708294153213501,4.060250282287598,36.5091552734375,12.026022911071777,2020
walk_edu,0.21849729120731354,4.299182415008545,0.5683063268661499,3.1691362857818604,1.8330583572387695,0.3871775269508362,1.628762125968933,8.39937973022461,2.7031493186950684,2020
TOT_COLLISNS_fwy,554.0,644.0,74.0,709.0,66.0,273.0,137.0,1098.0,11552.0,2020
TOT_COLLISNS_PER_100MVMT_fwy,11.88365801345447,22.67202559623649,8.795252057237315,14.388694627641808,41.480475781564024,11.046843440367157,19.072006082836513,64.24443213341964,26.87596434574299,2020
FATAL_COLLISNS_fwy,23.0,16.0,5.0,21.0,2.0,12.0,5.0,14.0,316.0,2020
FATAL_COLLISNS_PER_100MVMT_fwy,0.49336486337446356,0.5632801390369314,0.59427378765117,0.4261813641473596,1.2569841145928493,0.48557553584031454,0.6960586161619166,0.8191457649069898,0.7351804651363214,2020
PCT_FATAL_COLLISNS_fwy,0.04151624548736462,0.024844720496894408,0.06756756756756756,0.029619181946403384,0.030303030303030307,0.04395604395604395,0.03649635036496351,0.012750455373406192,0.027354570637119113,2020
BIKEPED_COLLISNS_fwy,9.0,20.0,1.0,27.0,17.0,4.0,7.0,15.0,269.0,2020
BIKEPED_COLLISNS_PER_CLMILE_fwy,0.006357699215253641,0.060770310396283354,0.008631837218566049,0.018452129727330135,0.650242491727193,0.006414248795709305,0.08100412663958008,0.3708390624335242,0.05759571742476234,2020
PCT_BIKEPED_COLLISNS_fwy,0.016245487364620937,0.031055900621118012,0.013513513513513514,0.0380818053596615,0.25757575757575757,0.014652014652014652,0.051094890510948905,0.01366120218579235,0.02328601108033241,2020
TOT_COLLISNS_nonfwy,3382.0,9011.0,648.0,18539.0,416.0,2310.0,752.0,2251.0,45592.0,2020
TOT_COLLISNS_PER_100MVMT_nonfwy,48.12324298100229,140.04666516845805,54.067287592229874,96.39527290522322,104.25089283415726,66.00659121361588,94.89050171052857,164.05561534497292,95.28989103556694,2020
FATAL_COLLISNS_nonfwy,229.0,174.0,22.0,349.0,7.0,81.0,21.0,13.0,1112.0,2020
FATAL_COLLISNS_PER_100MVMT_nonfwy,3.2584927979448626,2.7042636487972143,1.8356177886250886,1.8146583010908302,1.7542217544209155,2.314516834763154,2.649867733937633,0.9474557971944239,2.3241436837943157,2020
PCT_FATAL_COLLISNS_nonfwy,0.06771141336487285,0.019309732549106645,0.03395061728395062,0.01882517935163709,0.016826923076923076,0.03506493506493506,0.027925531914893616,0.005775211017325634,0.024390243902439025,2020
BIKEPED_COLLISNS_nonfwy,105.0,1543.0,54.0,2573.0,67.0,101.0,108.0,523.0,5999.0,2020
BIKEPED_COLLISNS_PER_CLMILE_nonfwy,0.07417315751129247,4.688429447073261,0.46611920980256666,1.7584196217933494,2.5627204085718778,0.16195978209165995,1.2497779538678069,12.929921976848878,1.2844487317143096,2020
PCT_BIKEPED_COLLISNS_nonfwy,0.031046717918391486,0.1712351570302963,0.08333333333333333,0.13878849991908948,0.16105769230769232,0.043722943722943726,0.14361702127659576,0.23234118169702356,0.13158010177224075,2020
mix_index,0.7038737409638168,0.41769830833649313,0.5358187599452195,0.6195860046590141,0.1991281482622313,0.31691560193286644,0.466054478601476,0.39232256390308656,0.9202785496449106,2020
Intersxn_34_per_acre,0.0012071586687024845,0.12111294873863938,0.02921584816122669,0.12859923569311227,0.1255652101416061,0.010929911636424977,0.06089621996159063,0.3191348890392004,0.016717749096014714,2020
pct_roadmi_bikeways,0.005526068386522062,0.09901318088191624,0.030608408456994737,0.0677956196696675,0.05733167360895857,0.004043045559532593,0.0342038592182526,0.10589931575087,0.040804863430205875,2020
TrnVehStop_Acre,1.6708078459549957e-05,0.9860194346976289,0.004690025698930352,0.18718169675333166,0.5575350933768515,0.0006624188870560593,0.03268204873992329,4.209102783321505,0.0323490197392486,2020
Pct_PopEJArea,0.2120690633332703,0.474697823710469,0.20515000761459973,0.21211729247295186,0.652669121030833,0.12796501336295166,0.5001296908337866,0.36962099314734825,0.2507635749834767,2020
EMPIND_jobshare,0.3999100603880252,0.1255050862144183,0.3229054573405073,0.20147457724325002,0.0895638987178898,0.19347523955818888,0.17288608477854223,0.062276947920872024,0.16120213236128114,2020
DU_TOT_NetPclAcre,0.008591885462779919,2.735285002403432,0.2655307437069872,2.4404187632542493,1.344074800965078,0.10962369836760173,0.8859774774817263,12.163268945130753,0.24767918183562596,2020
